weekid,week_position,song,performer,weeks_on_chart,peak_position,spotify_track_duration_ms,spotify_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1981-11-07,68,Run To Me,Savoy Brown,5,68,225400,false,0.597,0.517,4,-11.555,true,0.0271,0.299,0.00000621,0.167,0.362,97.795,4
1965-03-27,68,4 - By The Beatles,The Beatles,5,68,305973,false,0.527,0.522,0,-10.614,true,0.0259,0.717,0.000595,0.142,0.73,85.155,4
1966-08-13,69,5 D (Fifth Dimension),The Byrds,5,44,154640,false,0.212,0.518,2,-11.186,true,0.042,0.667,0.0,0.341,0.52,175.538,3
1961-05-20,69,Be My Boy,Paris Sisters,5,56,118960,false,0.173,0.101,1,-16.909,true,0.0424,0.904,0.0000639,0.113,0.211,184.768,3
1968-11-02,69,Smell Of Incense,Southwest F.O.B.,5,56,163906,false,0.485,0.368,10,-14.045,true,0.0328,0.016,0.0,0.207,0.567,118.246,4
1962-12-15,69,Baby Has Gone Bye Bye,George Maharis,5,62,174493,false,0.48,0.223,10,-17.069,true,0.0314,0.869,0.000018,0.132,0.415,109.125,4
1966-06-25,69,Break Out,Mitch Ryder And The Detroit Wheels,5,62,,,,,,,,,,,,,,
1967-09-02,69,A Woman's Hands,Joe Tex,5,63,210213,false,0.567,0.508,0,-10.56,true,0.0358,0.815,0.0,0.185,0.499,83.683,3
1981-10-24,69,Still,John Schneider,5,69,202193,false,0.61,0.307,0,-9.903,true,0.0276,0.597,0.0,0.102,0.175,129.819,4
1976-09-11,69,Party,Van Mccoy,5,69,255045,false,0.818,0.593,4,-19.145,false,0.0562,0.28,0.589,0.326,0.923,115.177,4
1960-06-25,69,Comin' Down With Love,Mel Gadson,5,69,,,,,,,,,,,,,,
1958-08-30,70,Don't Ask Me Why,Elvis Presley With The Jordanaires,5,34,,,,,,,,,,,,,,
1965-04-10,70,(Here They Come) From All Over The World,Jan & Dean,5,56,164600,false,0.461,0.68,0,-10.699,true,0.0446,0.621,0.00000774,0.906,0.957,149.771,4
1974-12-14,70,Someday,Dave Loggins,5,57,201386,false,0.579,0.54,4,-6.962,false,0.0273,0.301,0.0,0.33,0.713,126.078,4
1962-05-05,70,Patricia - Twist,Perez Prado And His Orchestra,5,65,,,,,,,,,,,,,,
1967-04-22,70,Cry To Me,Freddie Scott,5,70,198533,false,0.505,0.221,4,-12.462,true,0.0522,0.77,0.000014,0.14,0.307,72.651,3
1978-04-15,70,Bombs Away,Bob Weir,5,70,,,,,,,,,,,,,,
1963-10-26,70,Sweet Impossible You,Brenda Lee,5,70,,,,,,,,,,,,,,
1967-08-26,70,Slim Jenkin's Place,Booker T. & The MG's,5,70,146573,false,0.564,0.436,2,-17.491,true,0.0351,0.189,0.845,0.0678,0.655,112.119,4
1963-12-21,70,Baby I Do Love You,The Galens,5,70,145213,false,0.484,0.646,4,-7.306,false,0.0355,0.842,0.00000179,0.205,0.519,136.536,4
1973-04-28,70,Nobody Wins,Brenda Lee,5,70,183106,false,0.477,0.275,8,-15.451,true,0.0314,0.483,0.00000962,0.355,0.367,79.031,4
1967-10-14,70,Baby I'm Lonely,The Intruders,5,70,,,,,,,,,,,,,,
1963-10-19,71,Baby Get It (And Don't Quit It),Jackie Wilson,5,61,,,,,,,,,,,,,,
1969-07-26,71,(Sittin' On) The Dock Of The Bay,Sergio Mendes & Brasil '66,5,66,191760,false,0.732,0.336,2,-13.925,true,0.0357,0.828,0.000011,0.114,0.603,110.842,4
1966-10-01,71,"Dianne, Dianne",Ronny And The Daytonas,5,69,124880,false,0.319,0.281,4,-14.269,true,0.032,0.885,0.000124,0.107,0.466,183.014,4
1973-10-27,71,Ridin' My Thumb To Mexico,Johnny Rodriguez,5,70,126200,false,0.623,0.331,1,-9.349,true,0.0287,0.966,0.00000456,0.244,0.689,90.308,4
1966-09-17,71,She Drives Me Out Of My Mind,The Swingin' Medallions,5,71,,,,,,,,,,,,,,
1967-07-08,71,One By One,Blues Magoos,5,71,170480,false,0.213,0.652,2,-7.628,true,0.0421,0.564,0.0,0.107,0.586,139.755,4
1968-10-26,71,Puffin' On Down The Track,Hugh Masekela,5,71,,,,,,,,,,,,,,
